scenario,model,seed,total_cost_mean,total_cost_std,operational_cost_mean,operational_cost_std,sustainability_mean,sustainability_std,bullwhip_mean,bullwhip_std,inv_turnover_mean,inv_turnover_std
High_Volatility,M1: Base-Stock,42,34510510.14858093,1040961.8048805603,34510510.14858093,1040961.8048805603,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.011971896576565864,0.00042376909824954213
High_Volatility,M2: Vanilla PPO,123,9746677.875854494,506781.0859941936,9746677.875854494,506781.0859941936,0.6617979008193774,0.00273901691314977,0.37232472917412723,0.0590167992025208,0.030973714822250108,0.0025863281443829294
High_Volatility,M3: PPO + Priors,123,11774915.91429638,3291278.3309116564,11774915.91429638,3291278.3309116564,0.6391622625575515,0.008422383046400677,0.512195462003183,0.1604826956771078,0.031075337048401496,0.003450854484414477
High_Volatility,M1: Base-Stock,123,34243186.27315422,970198.5826982728,34243186.27315422,970198.5826982728,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.012059986700238692,0.00039615073597366423
High_Volatility,M2: Vanilla PPO,456,12391755.188371448,502107.6578445523,12391755.188371448,502107.6578445523,0.5746799034773585,0.0035160215519551836,0.5695995192981056,0.12185619199706048,0.021810260615836956,0.0010692493977204648
High_Volatility,M3: PPO + Priors,456,17720580.6702045,736728.2256982317,17720580.6702045,736728.2256982317,0.5603185404105451,0.0016818493436319523,0.5195566513524605,0.06289594498032668,0.016896760289529567,0.0007733733310691568
High_Volatility,M1: Base-Stock,456,34542742.246770665,970476.3944757293,34542742.246770665,970476.3944757293,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.011938026875836274,0.00038871327725397076
Systemic_Shock,M2: Vanilla PPO,42,3901541.790478542,637599.6626618257,3901541.790478542,637599.6626618257,0.8537893817174362,0.0005846888489692184,8.706083194544492,0.5332261903800574,0.3165031064514765,0.009831295593803694
Systemic_Shock,M3: PPO + Priors,42,3784010.035798441,507604.012744315,3784010.035798441,507604.012744315,0.8481873130655846,0.0018134667497098744,10.858506489693264,0.9187336877969939,0.28353390877288975,0.009181832201033586
Systemic_Shock,M1: Base-Stock,42,19125332.636757165,554006.998924369,19125332.636757165,554006.998924369,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.024289322571140498,0.0009119348296064542
Systemic_Shock,M2: Vanilla PPO,123,3502623.7433863296,497822.8007909448,3502623.7433863296,497822.8007909448,0.8502397817850361,0.0007140739828275428,9.704897904784552,0.8111908053516572,0.27391550034000756,0.008846037584074876
Systemic_Shock,M3: PPO + Priors,123,8327504.271456777,892750.5309289672,8327504.271456777,892750.5309289672,0.8164762135787308,0.006452739019461545,12.585545154666558,1.3187437707904244,0.3695103199301908,0.012780476758845563
Systemic_Shock,M1: Base-Stock,123,19039642.323146056,672964.8373806519,19039642.323146056,672964.8373806519,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.024484401357926865,0.0011480749816875147
Systemic_Shock,M2: Vanilla PPO,456,3983852.452206367,350841.06311335193,3983852.452206367,350841.06311335193,0.5956990586952634,0.005475823494831827,4.713292878038383,0.4687414264495581,0.20738489187309614,0.009531144521130124
Systemic_Shock,M3: PPO + Priors,456,3340691.058636216,455861.4957632365,3340691.058636216,455861.4957632365,0.8601563871957123,0.0032246216447081267,5.645864321733735,0.4091837758804943,0.29825550979261256,0.007650200366058431
Systemic_Shock,M1: Base-Stock,456,18998183.94565899,627749.8891628017,18998183.94565899,627749.8891628017,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.02450814111033599,0.0010245283684902316
