seed,scenario,model,episode,total_cost,sustainability_score,bullwhip_ratio,inv_turnover
42,Stable_Operations,M2: Vanilla PPO,22,16657989.141106606,0.5642418943735886,20.15607107250432,0.013917283283517363
42,Stable_Operations,M2: Vanilla PPO,23,16813982.280853212,0.5655667580443656,19.80240985729549,0.013744701886018347
42,Stable_Operations,M2: Vanilla PPO,24,16567239.415302694,0.5645613985085849,21.794080194793498,0.013959763133517322
42,Stable_Operations,M2: Vanilla PPO,25,16414031.498645127,0.5663176589027843,23.831267271760847,0.01442471235580477
42,Stable_Operations,M2: Vanilla PPO,26,16347564.991190493,0.5635636198507418,16.852188088454323,0.014219727498845987
42,Stable_Operations,M2: Vanilla PPO,27,16837582.582039475,0.5656716099838712,20.697767023326325,0.013761005551784361
42,Stable_Operations,M2: Vanilla PPO,28,16874940.977477252,0.5648798462042923,24.989869271690527,0.013926965817503918
42,Stable_Operations,M2: Vanilla PPO,29,16753311.38007766,0.5652027456988182,22.66257331475656,0.013871180517477412
42,Stable_Operations,M2: Vanilla PPO,30,16666012.0870291,0.565421633333057,22.151060228823653,0.013761252200230988
42,Stable_Operations,M2: Vanilla PPO,31,16821674.575344563,0.5649143645290665,20.424108304327465,0.01405294748973801
42,Stable_Operations,M2: Vanilla PPO,32,17270650.14207101,0.5652864682117666,22.189549026803306,0.013584636720650085
42,Stable_Operations,M2: Vanilla PPO,33,16353364.122845411,0.5651366906870158,21.5012855611834,0.014446388419932371
42,Stable_Operations,M2: Vanilla PPO,34,16746052.3114326,0.5654364652264516,18.578131597340025,0.013686580266890278
42,Stable_Operations,M2: Vanilla PPO,35,16708917.878017068,0.5659951435442044,22.881583499377893,0.013573879744614355
42,Stable_Operations,M2: Vanilla PPO,36,16587419.669884384,0.5658020460725977,22.486786126461507,0.014262299291048195
42,Stable_Operations,M2: Vanilla PPO,37,16498696.809565425,0.5637784421859138,25.36709941267229,0.014398595713481175
42,Stable_Operations,M2: Vanilla PPO,38,16656202.236896336,0.5648980156138297,21.740048077820628,0.013960224659834874
42,Stable_Operations,M2: Vanilla PPO,39,16570280.673887193,0.5652796288620622,20.145650378229867,0.014053560713174105
42,Stable_Operations,M2: Vanilla PPO,40,16508382.981806934,0.565380263360903,18.93061409497291,0.013956918443285976
42,Stable_Operations,M2: Vanilla PPO,41,16677897.585732818,0.5652125551873045,21.290568836907326,0.014016372938228577
42,Stable_Operations,M2: Vanilla PPO,42,16938413.556369185,0.5652946191482603,20.129200405743816,0.01359609755857584
42,Stable_Operations,M2: Vanilla PPO,43,16591425.92802608,0.565185406373256,22.913716932192706,0.013822381973218197
42,Stable_Operations,M2: Vanilla PPO,44,17025355.141283393,0.5644172802286027,25.166649703168506,0.013946527062296722
42,Stable_Operations,M2: Vanilla PPO,45,17217058.068706274,0.5638377764577248,20.239272359983865,0.013579196516859213
42,Stable_Operations,M2: Vanilla PPO,46,16721060.886795938,0.5642042809197538,18.71900568976391,0.013817376407057633
42,Stable_Operations,M2: Vanilla PPO,47,16904098.711039305,0.5638341806880145,20.5509197944494,0.01364079103548769
42,Stable_Operations,M2: Vanilla PPO,48,16448801.947954297,0.5658778729707697,18.521484331267644,0.013943608203098062
42,Stable_Operations,M2: Vanilla PPO,49,16890282.626009047,0.5651863942087132,24.055973841008914,0.013845170111882283
42,Stable_Operations,M3: PPO + Priors,0,15514802.103225768,0.5347667617127373,22.717243911213608,0.017817266146492407
42,Stable_Operations,M3: PPO + Priors,1,14885022.490976393,0.5351353718964613,23.931762927559163,0.01813239999328215
42,Stable_Operations,M3: PPO + Priors,2,14994996.536015749,0.538568626275852,25.770576955557445,0.020477636884844393
42,Stable_Operations,M3: PPO + Priors,3,15223089.499112308,0.5359678479504477,25.20610540439841,0.018853290891276787
